episode,timestep,reward
36,800,21.25
69,1600,24.8485
105,2400,22.5556
137,3200,24.5938
180,4000,18.907
216,4800,22.1667
249,5600,24.2727
283,6400,23.0882
315,7200,25.5
346,8000,25.0323
381,8800,22.6857
415,9600,23.6471
452,10400,22.2162
487,11200,22.9714
527,12000,19.375
565,12800,21.3158
609,13600,18.5227
645,14400,22.1944
681,15200,21.75
716,16000,23.4
752,16800,22.1389
793,17600,19.5854
826,18400,23.9394
865,19200,20.1026
902,20000,21.6486
942,20800,20.075
978,21600,22.1389
1011,22400,24.3939
1047,23200,22.0278
1083,24000,22.7222
1122,24800,20.5385
1155,25600,24.5152
1192,26400,21.2703
1228,27200,22.4722
1260,28000,24.5312
1299,28800,21.0
1339,29600,20.0
1372,30400,24.1818
1412,31200,19.1
1447,32000,23.6571
1487,32800,20.25
1520,33600,24.2121
1557,34400,21.5946
1587,35200,26.5667
1626,36000,20.2564
1665,36800,20.8205
1706,37600,19.5122
1749,38400,18.4651
1785,39200,22.3333
1821,40000,22.2778
1858,40800,21.3784
1898,41600,20.125
1930,42400,24.6562
1972,43200,19.381
2009,44000,21.5405
2044,44800,22.8571
2080,45600,21.8333
2118,46400,21.2368
2152,47200,23.6471
2189,48000,21.4054
2222,48800,24.5758
2253,49600,25.9032
2286,50400,23.8485
2320,51200,23.7353
2356,52000,21.8611
2388,52800,25.5
2423,53600,22.9429
2455,54400,24.9688
2493,55200,20.1842
2521,56000,28.5714
2556,56800,23.2
2593,57600,21.8649
2628,58400,23.3429
2663,59200,22.6286
2700,60000,21.8108
2740,60800,19.925
2780,61600,19.775
2812,62400,25.3125
2847,63200,22.4857
2884,64000,21.5946
2918,64800,23.7941
2952,65600,22.7941
2993,66400,20.1463
3029,67200,22.3333
3065,68000,22.0556
3107,68800,19.1667
3136,69600,26.1034
3172,70400,23.3056
3214,71200,18.9762
3253,72000,20.7692
3288,72800,22.5143
3318,73600,25.8667
3352,74400,24.1765
3389,75200,21.8108
3423,76000,23.3529
3457,76800,22.2059
3496,77600,21.7949
3537,78400,19.439
3578,79200,19.7561
3613,80000,22.8571
3648,80800,22.5429
3686,81600,21.0263
3720,82400,23.7353
3752,83200,24.25
3789,84000,21.4595
3816,84800,29.8889
3852,85600,23.0556
3887,86400,22.3143
3923,87200,22.4722
3963,88000,19.375
3993,88800,27.4
4035,89600,19.2619
4072,90400,21.7297
4107,91200,22.8286
4138,92000,25.2581
4167,92800,27.6207
4189,93600,37.1364
4212,94400,33.3913
4234,95200,37.6364
4255,96000,35.7143
4273,96800,46.0
4291,97600,45.1667
4301,98400,72.0
4313,99200,70.5
4323,100000,82.5
