episode,timestep,reward
1,2000,-367.7326
3,4000,-427.6925
5,6000,-473.7813
7,8000,-475.7291
9,10000,-418.4921
11,12000,-346.741
13,14000,-352.336
15,16000,-401.5796
17,18000,-260.5151
19,20000,-227.4613
21,22000,-282.603
23,24000,-324.8369
25,26000,-247.0404
27,28000,-379.5495
29,30000,-308.2475
31,32000,-199.7992
33,34000,-338.8348
35,36000,-199.8229
37,38000,-179.1028
39,40000,-249.2356
41,42000,-169.3031
43,44000,-160.5769
45,46000,-170.7912
47,48000,-107.286
49,50000,-135.0818
51,52000,-138.1128
53,54000,-215.4363
55,56000,-226.8274
57,58000,-149.1131
59,60000,-196.1453
61,62000,-192.8671
63,64000,-80.3428
65,66000,-188.2025
67,68000,-109.9709
69,70000,-171.1633
71,72000,-158.3373
73,74000,-73.4091
75,76000,-90.3873
77,78000,-39.7931
79,80000,-96.7592
81,82000,-114.4445
83,84000,-223.2253
85,86000,-104.7284
87,88000,-73.6218
89,90000,-149.2664
91,92000,-102.617
93,94000,-38.1544
95,96000,-314.9338
97,98000,-69.0527
99,100000,-158.2418
101,102000,-68.4547
103,104000,-56.2119
105,106000,-89.1476
107,108000,-142.3478
109,110000,-51.8133
111,112000,-15.6427
113,114000,-52.3062
115,116000,-90.6643
117,118000,-115.517
119,120000,-150.6949
121,122000,-115.1878
123,124000,-18.648
125,126000,-132.3457
127,128000,-86.4727
129,130000,-132.4398
131,132000,-109.195
133,134000,-12.2068
135,136000,-53.9143
137,138000,-27.8033
139,140000,-22.6771
141,142000,-138.8244
143,144000,-75.1525
145,146000,-34.3811
147,148000,-102.2424
149,150000,12.0127
151,152000,3.1463
153,154000,36.3936
155,156000,-234.1011
157,158000,-63.2163
159,160000,-296.4749
161,162000,-111.6646
163,164000,-28.0472
165,166000,-72.9621
167,168000,-94.1114
169,170000,-305.133
171,172000,-45.6745
173,174000,-255.2568
175,176000,-130.3954
177,178000,-89.0824
179,180000,-94.3914
181,182000,-112.1156
183,184000,-179.7092
185,186000,-119.1219
187,188000,-90.2119
189,190000,-57.5556
191,192000,-126.3804
193,194000,-211.8051
195,196000,-310.7306
197,198000,-222.0413
199,200000,-27.8605
201,202000,-123.441
203,204000,-111.4989
205,206000,-214.4876
207,208000,62.5319
209,210000,-132.6268
211,212000,-9.8046
213,214000,-178.2417
215,216000,-94.3379
217,218000,-6.5751
219,220000,-309.1792
221,222000,-138.0551
223,224000,-83.9019
225,226000,-36.8234
227,228000,-203.1474
229,230000,-243.2156
231,232000,-119.8213
233,234000,-181.4734
235,236000,-0.8206
237,238000,-206.7209
239,240000,-260.1169
241,242000,-62.8708
243,244000,-510.8296
245,246000,-96.2618
247,248000,-146.4159
249,250000,-175.6515
251,252000,-222.6241
253,254000,-108.2785
255,256000,-307.2907
257,258000,-151.3666
259,260000,-192.0545
261,262000,-55.0982
263,264000,-24.3397
265,266000,-145.129
267,268000,-67.9626
269,270000,-168.9223
271,272000,-171.5758
273,274000,-169.3735
275,276000,36.3398
277,278000,-163.9605
279,280000,46.3778
281,282000,-126.8829
283,284000,-93.7714
285,286000,-110.4527
287,288000,-15.5859
289,290000,-125.8438
291,292000,-241.0731
293,294000,-139.7746
295,296000,-66.0199
297,298000,-1.3063
299,300000,-34.5207
301,302000,-149.707
303,304000,-141.2105
305,306000,9.7215
307,308000,-126.9044
309,310000,-55.8922
311,312000,-146.5282
313,314000,-13.8348
315,316000,-282.5188
317,318000,-168.7475
319,320000,-58.7837
321,322000,-76.1096
323,324000,-144.623
325,326000,-85.9718
327,328000,-356.9681
329,330000,-103.627
331,332000,-175.8338
333,334000,-93.3028
335,336000,16.2994
337,338000,5.173
339,340000,-254.3794
341,342000,66.5535
343,344000,23.5779
345,346000,113.5879
347,348000,-220.623
349,350000,-113.7587
351,352000,-359.4974
353,354000,-10.4613
355,356000,5.6477
357,358000,-242.4401
359,360000,-332.5103
361,362000,-27.673
363,364000,59.5753
365,366000,104.2768
367,368000,19.5898
369,370000,-206.7976
371,372000,-81.9341
373,374000,-215.9013
375,376000,-62.366
377,378000,24.7314
379,380000,54.8022
381,382000,-103.6084
383,384000,-117.9804
385,386000,8.9008
387,388000,-59.2359
389,390000,-393.6043
391,392000,-315.4385
393,394000,53.1886
395,396000,-44.4354
397,398000,-25.7313
399,400000,-75.6942
401,402000,-175.6704
403,404000,20.1136
405,406000,73.9974
407,408000,-70.0171
409,410000,-171.839
411,412000,26.2177
413,414000,-40.7749
415,416000,32.741
417,418000,-114.6281
419,420000,-37.5521
421,422000,38.5972
423,424000,-138.3002
425,426000,113.7661
427,428000,29.9602
429,430000,-45.7341
431,432000,-63.2432
433,434000,57.7394
435,436000,-41.7398
437,438000,59.2692
439,440000,-65.6878
441,442000,-50.5551
443,444000,-72.2512
445,446000,33.8635
447,448000,64.4347
449,450000,11.6848
451,452000,26.8924
453,454000,-30.8023
455,456000,-136.3225
457,458000,-60.6112
459,460000,-126.5496
