episode,timestep,reward
1,2000,-345.9116
3,4000,-313.8448
5,6000,-243.573
7,8000,-299.3023
9,10000,-269.4937
11,12000,-367.2319
13,14000,-324.036
15,16000,-362.3256
17,18000,-230.1635
19,20000,-347.4678
21,22000,-445.9593
23,24000,-285.9675
25,26000,-248.7649
27,28000,-358.278
29,30000,-301.0561
31,32000,-293.2546
33,34000,-242.5269
35,36000,-271.7491
37,38000,-238.1091
39,40000,-276.8912
41,42000,-154.8412
43,44000,-218.0036
45,46000,-189.5676
47,48000,-261.8215
49,50000,-190.8596
51,52000,-141.1166
53,54000,-350.846
55,56000,-242.1004
57,58000,-225.5442
59,60000,-205.2126
61,62000,-207.6975
63,64000,-211.5994
65,66000,-219.2128
67,68000,-140.2889
69,70000,-172.6818
71,72000,-199.673
73,74000,-122.582
75,76000,-221.8439
77,78000,-138.8246
79,80000,-95.7236
81,82000,-155.3305
83,84000,-260.0381
85,86000,-181.2359
87,88000,-89.5039
89,90000,-223.3595
91,92000,-199.5998
93,94000,-164.5295
95,96000,-195.9236
97,98000,-197.8682
99,100000,-173.742
101,102000,-160.5354
103,104000,-144.4244
105,106000,-108.8984
107,108000,28.3014
109,110000,7.0473
111,112000,-103.3431
113,114000,-29.0457
115,116000,-206.123
117,118000,-101.2537
119,120000,-168.0418
121,122000,-3.1144
123,124000,-224.2148
125,126000,-151.0515
127,128000,-167.3134
129,130000,-88.0914
131,132000,-141.926
133,134000,-104.17
135,136000,-19.1116
137,138000,-189.8342
139,140000,-185.6086
141,142000,-219.2703
143,144000,-173.5834
145,146000,42.5812
147,148000,-220.7802
149,150000,-46.6302
151,152000,-15.9642
153,154000,-285.0289
155,156000,-191.5006
157,158000,-110.8584
159,160000,-202.3357
161,162000,-125.7883
163,164000,-210.8415
165,166000,-72.1811
167,168000,-57.9874
169,170000,-133.652
171,172000,-102.8624
173,174000,-294.2525
175,176000,-98.5243
177,178000,-221.1956
179,180000,-137.5801
181,182000,-80.5179
183,184000,3.6592
