episode,timestep,reward
1,2000,-378.8282
3,4000,-438.878
5,6000,-349.0329
7,8000,-350.125
9,10000,-239.5833
11,12000,-356.4089
13,14000,-369.2948
15,16000,-291.0393
17,18000,-400.0601
19,20000,-367.54
21,22000,-424.7554
23,24000,-342.2975
25,26000,-313.513
27,28000,-360.3499
29,30000,-360.5501
31,32000,-354.9963
33,34000,-258.766
35,36000,-407.9662
37,38000,-323.3048
39,40000,-337.4664
41,42000,-441.8078
43,44000,-244.4385
45,46000,-291.1811
47,48000,-316.8098
49,50000,-270.9728
51,52000,-306.3972
53,54000,-344.1343
55,56000,-326.7455
57,58000,-280.4749
59,60000,-284.1172
61,62000,-215.5249
63,64000,-384.0572
65,66000,-270.3066
67,68000,-366.7048
69,70000,-294.3638
71,72000,-356.6104
73,74000,-238.3105
75,76000,-200.1236
77,78000,-191.1533
79,80000,-265.9503
81,82000,-239.4281
83,84000,-327.0854
85,86000,-247.0201
87,88000,-249.5581
89,90000,-244.7175
91,92000,-321.7073
93,94000,-350.5973
95,96000,-262.3565
97,98000,-287.9782
99,100000,-318.9229
101,102000,-290.4746
103,104000,-243.8547
105,106000,-304.4431
107,108000,-216.1707
109,110000,-254.885
111,112000,-264.3675
113,114000,-204.5488
115,116000,-257.5143
117,118000,-234.5102
119,120000,-308.6309
121,122000,-268.0534
123,124000,-223.166
125,126000,-240.9349
127,128000,-157.182
129,130000,-162.5477
131,132000,-248.7788
133,134000,-196.0487
135,136000,-211.3694
137,138000,-163.5389
139,140000,-217.2994
141,142000,-167.7399
143,144000,-171.6076
145,146000,-189.7609
147,148000,-189.3882
149,150000,-143.5852
151,152000,-189.1584
153,154000,-191.5705
155,156000,-150.268
157,158000,-159.5503
159,160000,-168.8421
161,162000,-127.5849
163,164000,-114.9935
165,166000,-88.0997
167,168000,-185.3058
169,170000,-141.3601
171,172000,-183.1629
173,174000,-154.4563
175,176000,-127.3413
177,178000,-119.295
179,180000,-130.746
181,182000,-151.3539
183,184000,-167.3106
185,186000,-126.4476
187,188000,-141.9814
189,190000,-165.5722
191,192000,-178.7873
193,194000,-127.5629
195,196000,-156.5934
197,198000,-143.4978
199,200000,-156.3034
201,202000,-152.3053
203,204000,-150.4271
205,206000,-137.3066
207,208000,-103.4551
209,210000,-172.8191
211,212000,-145.0588
213,214000,-183.7988
215,216000,-151.9238
217,218000,-86.4282
219,220000,-131.8124
221,222000,-113.4406
223,224000,-142.2074
225,226000,-122.7579
227,228000,-93.9746
229,230000,-83.4754
231,232000,-174.8677
233,234000,-181.5613
235,236000,-163.074
237,238000,-130.1029
239,240000,-144.0152
241,242000,-194.8728
243,244000,-156.0702
245,246000,-112.7712
247,248000,-94.5695
249,250000,-106.051
251,252000,-198.9004
253,254000,-118.1184
255,256000,-164.8222
257,258000,-167.9387
259,260000,-135.0105
261,262000,-113.9191
263,264000,-102.1155
265,266000,-107.8129
267,268000,-119.3173
269,270000,-118.3747
271,272000,-107.0097
273,274000,-106.0904
275,276000,-139.5691
277,278000,-97.6236
279,280000,-76.7266
281,282000,-119.9003
283,284000,-107.6396
285,286000,-90.8971
287,288000,-122.32
289,290000,-158.1592
291,292000,-99.8942
293,294000,-132.6887
295,296000,-81.134
297,298000,-81.8132
299,300000,-164.9224
301,302000,-125.2125
303,304000,-116.3535
305,306000,-127.3229
307,308000,-175.122
309,310000,-121.3659
311,312000,-105.7176
313,314000,-83.4892
315,316000,-106.2415
317,318000,-159.4865
319,320000,-116.0776
321,322000,-91.1586
323,324000,-80.7156
325,326000,-93.8679
327,328000,-92.6176
329,330000,-121.6094
331,332000,-130.9264
333,334000,-101.6329
335,336000,-117.9402
337,338000,-93.0868
339,340000,-70.2257
341,342000,-63.5848
343,344000,-103.5764
345,346000,-83.2544
347,348000,-138.7484
349,350000,-105.48
351,352000,-88.0042
353,354000,-111.813
355,356000,-89.0025
357,358000,-58.0344
359,360000,-70.8664
361,362000,-167.3
363,364000,-133.0676
365,366000,-135.0737
367,368000,-123.1053
369,370000,-102.7655
371,372000,-109.1459
373,374000,-102.5518
375,376000,-104.264
377,378000,-86.5777
379,380000,-91.6396
381,382000,-159.1671
383,384000,-101.0134
385,386000,-85.3157
387,388000,-54.6501
389,390000,-90.5827
391,392000,-63.8175
393,394000,-135.5026
395,396000,-114.42
397,398000,-78.2872
399,400000,-78.1572
401,402000,-44.2105
403,404000,-148.8112
405,406000,-107.9916
407,408000,-121.0826
409,410000,-113.2198
411,412000,-138.0199
413,414000,-110.8279
415,416000,-84.1299
417,418000,-107.4593
419,420000,-88.6938
421,422000,-104.7832
423,424000,-137.4629
425,426000,-105.7033
427,428000,-90.0629
429,430000,-98.4031
431,432000,-77.1267
433,434000,-70.4344
435,436000,-132.8724
437,438000,-103.6704
439,440000,-76.3473
441,442000,-113.2973
443,444000,-116.8241
445,446000,-97.839
447,448000,-135.0468
449,450000,-77.726
451,452000,-95.5049
453,454000,-98.576
455,456000,-97.8768
457,458000,-86.2737
459,460000,-82.928
461,462000,-104.6012
463,464000,-79.474
465,466000,-109.6086
467,468000,-106.4763
469,470000,-107.3067
471,472000,-184.5604
473,474000,-131.1994
475,476000,-116.9221
