episode,timestep,reward
41,800,19.2927
78,1600,21.5676
111,2400,24.0
145,3200,23.3529
173,4000,29.0
196,4800,34.6522
211,5600,53.7333
230,6400,39.0526
239,7200,89.7778
247,8000,90.25
253,8800,137.1667
258,9600,155.8
263,10400,179.0
267,11200,157.75
272,12000,182.0
277,12800,152.0
281,13600,219.5
284,14400,247.3333
287,15200,274.6667
290,16000,254.3333
294,16800,232.25
296,17600,303.0
299,18400,233.6667
301,19200,385.0
304,20000,302.0
308,20800,252.5
311,21600,241.3333
314,22400,241.3333
317,23200,228.6667
320,24000,307.6667
323,24800,234.3333
326,25600,333.3333
330,26400,205.5
333,27200,237.0
335,28000,280.0
339,28800,279.25
341,29600,296.0
344,30400,266.6667
347,31200,302.0
350,32000,299.0
352,32800,275.5
355,33600,262.3333
358,34400,317.0
361,35200,299.0
364,36000,276.6667
366,36800,328.0
368,37600,400.0
370,38400,333.0
372,39200,400.0
374,40000,367.0
376,40800,400.0
379,41600,390.3333
381,42400,400.0
383,43200,400.0
385,44000,400.0
387,44800,400.0
389,45600,400.0
391,46400,400.0
393,47200,400.0
395,48000,400.0
397,48800,355.5
399,49600,400.0
401,50400,400.0
403,51200,400.0
405,52000,295.0
408,52800,363.0
410,53600,304.5
412,54400,390.5
414,55200,400.0
416,56000,395.5
418,56800,400.0
420,57600,400.0
422,58400,399.5
424,59200,319.0
427,60000,375.3333
429,60800,346.5
431,61600,400.0
433,62400,400.0
436,63200,268.0
439,64000,248.6667
443,64800,205.25
446,65600,312.6667
448,66400,374.5
450,67200,343.0
452,68000,353.0
454,68800,400.0
457,69600,331.6667
459,70400,330.5
461,71200,400.0
463,72000,400.0
465,72800,400.0
467,73600,400.0
469,74400,400.0
471,75200,366.0
474,76000,354.6667
476,76800,400.0
478,77600,400.0
480,78400,400.0
483,79200,239.3333
486,80000,190.3333
489,80800,384.3333
492,81600,269.0
494,82400,400.0
496,83200,400.0
499,84000,226.0
502,84800,248.6667
505,85600,242.3333
508,86400,310.3333
510,87200,330.0
512,88000,400.0
515,88800,325.0
518,89600,301.0
521,90400,160.3333
525,91200,278.75
527,92000,221.0
529,92800,400.0
531,93600,393.5
533,94400,400.0
537,95200,238.75
539,96000,379.5
541,96800,374.5
543,97600,398.0
546,98400,363.0
548,99200,284.0
550,100000,400.0
